"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"coenonympha tullia","Coenonympha tullia",FALSE,643623,FALSE,"",1
"coleotechnites piceaella","Coleotechnites piceaella",FALSE,446472,FALSE,"",1
"colias alexandra","Colias alexandra",FALSE,765624,FALSE,"",1
"colias eurytheme","Colias eurytheme",FALSE,940001,FALSE,"",1
"colias harfordii","Colias harfordii",FALSE,3137315,FALSE,"",1
"colias hecla","Colias hecla",FALSE,987295,FALSE,"",1
"colias interior","Colias interior",FALSE,1031737,FALSE,"",1
"colias meadii","Colias meadii",FALSE,242297,FALSE,"",1
"colias nastes","Colias nastes",FALSE,423670,FALSE,"",2
"colias palaeno","Colias palaeno",FALSE,460769,FALSE,"",1
"colias philodice","Colias philodice",FALSE,83648,FALSE,"",1
"colias scudderii","Colias scudderi",TRUE,242303,FALSE,"",1
"colocasia propinquilinea","Colocasia propinquilinea",FALSE,289015,FALSE,"",1
"costaconvexa centrostrigaria","Costaconvexa centrostrigaria",FALSE,937452,FALSE,"",1
"cyaniris neglecta","Celastrina neglecta",FALSE,729704,TRUE,"",1
"danaus gilippus","Danaus gilippus",FALSE,108682,FALSE,"",1
"danaus plexippus","Danaus plexippus",FALSE,190091,FALSE,"",1
"darapsa myron","Darapsa myron",FALSE,3093797,FALSE,"",1
"desmia funeralis","Desmia funeralis",FALSE,494202,FALSE,"",1
"dryocampa rubicunda","Dryocampa rubicunda",FALSE,755898,FALSE,"",1
"eacles imperialis","Eacles imperialis",FALSE,650433,FALSE,"",1
"ectropis crepuscularia","Ectropis crepuscularia",FALSE,934422,FALSE,"",1
"egira crucialis","Egira crucialis",FALSE,212729,FALSE,"",1
"enargia decolor","Enargia decolor",FALSE,144007,FALSE,"",1
"enargia infumata","Enargia infumata",FALSE,424703,FALSE,"",1
"ennomos magnaria","Ennomos magnaria",FALSE,637156,FALSE,"",1
"epargyreus clarus","Epargyreus clarus",FALSE,666075,FALSE,"",1
"epimecis hortaria","Epimecis hortaria",FALSE,998812,FALSE,"",1
"erebia disa","Erebia disa",FALSE,3104608,FALSE,"sibling_higher",1
"erebia discoidalis","Erebia discoidalis",FALSE,3104120,FALSE,"sibling_higher",1
"erebia epipsodea","Erebia epipsodea",FALSE,680391,FALSE,"sibling_higher",1
"erebia fasciata","Erebia fasciata",FALSE,3104645,FALSE,"sibling_higher",2
"erebia rossii","Erebia rossii",FALSE,680397,FALSE,"sibling_higher",1
"eresia mylitta","Aricia mylitta",TRUE,7718632,FALSE,"sibling_higher",4
"erynnis afranius","Erynnis afranius",FALSE,721520,FALSE,"",1
"erynnis baptisiae","Erynnis baptisiae",FALSE,3065360,FALSE,"",1
"erynnis brizo","Erynnis brizo",FALSE,295331,FALSE,"",1
"erynnis horatius","Erynnis horatius",FALSE,721519,FALSE,"",1
"erynnis icelus","Erynnis icelus",FALSE,459757,FALSE,"",1
"erynnis juvenalis","Erynnis juvenalis",FALSE,3065391,FALSE,"",1
"erynnis persius","Erynnis persius",FALSE,459751,FALSE,"",1
"erynnis propertius","Erynnis propertius",FALSE,118424,FALSE,"",1
"erynnis telemachus","Erynnis telemachus",FALSE,3065398,FALSE,"",1
"estigmene acrea","Estigmene acrea",FALSE,13239,FALSE,"",1
"euchloe ausonides","Euchloe ausonides",FALSE,242286,FALSE,"",1
"euphydryas anicia","Euphydryas anicia",FALSE,927497,FALSE,"",1
"euphydryas chalcedona","Euphydryas chalcedona",FALSE,927485,FALSE,"",1
"euphydryas editha","Euphydryas editha",FALSE,927502,FALSE,"",1
"euphydryas phaeton","Euphydryas phaeton",FALSE,351915,FALSE,"",1
"euphyes conspicua","Euphyes conspicua",FALSE,3061282,FALSE,"",1
"euphyes vestris","Euphyes vestris",FALSE,1024314,FALSE,"",1
"euptoieta claudia","Euptoieta claudia",FALSE,634334,FALSE,"",1
"eurois occulta","Eurois occulta",FALSE,84836,FALSE,"",1
"eutrapela clemataria","Eutrapela clemataria",FALSE,819130,FALSE,"",1
"lycaena dorcas","Lycaena dorcas",FALSE,435352,FALSE,"sibling_higher",1
"feralia deceptiva","Feralia deceptiva",FALSE,5558038,FALSE,"sibling_higher",1
"glaucopsyche lygdamus","Glaucopsyche lygdamus",FALSE,141922,FALSE,"sibling_higher",1
"gluphisia crenata","Gluphisia crenata",FALSE,160263,FALSE,"",1
"apantesis incorrupta","Apantesis incorrupta",FALSE,868689,FALSE,"",1
"apantesis nevadensis","Apantesis nevadensis",FALSE,1059971,FALSE,"",1
"apantesis virgo","Apantesis virgo",FALSE,115323,FALSE,"",1
"apantesis williamsii","Apantesis williamsii",FALSE,533676,FALSE,"",1
"halysidota tessellaris","Halysidota tessellaris",FALSE,115317,FALSE,"",1
"harkenclenus titus","Satyrium titus",FALSE,753125,TRUE,"sibling_higher",1
"hemaris diffinis","Hemaris diffinis",FALSE,3094859,FALSE,"",1
"hesperia colorado","Hesperia colorado",FALSE,3062063,FALSE,"",1
"hesperia comma","Hesperia comma",FALSE,1093034,FALSE,"",1
"hesperia juba","Hesperia juba",FALSE,1093038,FALSE,"",1
"hesperia leonardus","Hesperia leonardus",FALSE,1024316,FALSE,"",1
"hesperia sassacus","Hesperia sassacus",FALSE,568170,FALSE,"",1
"heterocampa guttivitta","Heterocampa guttivitta",FALSE,42543,FALSE,"",1
