scientific_name,overwinteringStage,voltinism,diurnality,notes.x,onsetProblems,offsetProblems,overwintering.stage.y,voltinism.y,notes.y,WikiName,OrigSyn,Syn,validName
Apamea commoda,,,N,NA,NA,NA,NA,NA,NA,Apamea commoda, Hadena satina ,Hadena satina,Apamea commoda
Apamea scoparia,,,N,NA,NA,NA,NA,NA,NA,Apamea scoparia,Abromias scoparia,Abromias scoparia,Apamea scoparia
Digrammia pictipennata,,,N,NA,NA,NA,NA,NA,NA,Digrammia pictipennata,"Macaria pictipennata  Hulst, 1898",Macaria pictipennata,Digrammia pictipennata
Dysstroma brunneata,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dysstroma brunneata
Eurois occulta,L,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurois occulta
Melemaea magdalena,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melemaea magdalena
Baileya ophthalmica,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baileya ophthalmica
Celastrina serotina,P,U,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celastrina serotina
Chionodes thoraceochrella,,,N,NA,NA,NA,NA,NA,NA,Chionodes thoraceochrella,"Gelechia thoraceochrella Chambers, 1872",Gelechia thoraceochrella,Chionodes thoraceochrella
Chionodes thoraceochrella,,,N,NA,NA,NA,NA,NA,NA,Chionodes thoraceochrella,"Gelechia nigrimaculella Busck, 1903",Gelechia nigrimaculella,Chionodes thoraceochrella
Lethe anthedon,L,F,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lethe anthedon
