Year,id_cells,MAT,bio4,MAP,bio15
2001,1,24.66333333,133.7146799,97.05166667,1.410759302
2002,1,25.09,166.1907652,101.7083333,1.447087348
2003,1,25.00666667,135.8089139,109.805,1.215255575
2004,1,25.24,156.597953,124.5116667,0.968013786
2005,1,25.15166667,145.8954582,89.77666667,1.233268758
2006,1,24.89333333,152.8043671,102.7366667,1.098516046
2007,1,24.74,138.5748233,96.39666667,1.401644786
2008,1,24.34,151.212822,92.74166667,1.255063232
2009,1,25.05833333,145.6401909,88.58166667,1.195535013
2010,1,24.48333333,167.8480357,103.455,1.348236657
1900,2,21.735,159.6083049,89.17333333,1.042074815
1901,2,20.9625,180.0747783,80.72,1.238280533
1902,2,20.81333333,162.2694456,83.91916667,1.151072727
1903,2,20.51666667,160.3711376,58.73833333,1.357757317
1904,2,20.03333333,112.7049586,74.5175,1.237204896
1905,2,20.615,208.225216,57.38416667,1.428537148
1906,2,20.43833333,188.0118782,66.015,1.049816411
1907,2,20.6175,145.4030887,57.24583333,0.859292714
1908,2,20.81416667,129.4365308,81.78666667,1.144459211
1909,2,21.255,177.7082818,115.5216667,1.160083845
1910,2,20.42083333,141.5499847,80.66666667,1.091032694
1911,2,21.1725,120.7547867,62.87,1.062357709
1912,2,20.73916667,160.6973584,66.26833333,1.218525204
1913,2,20.49,88.63911602,83.1475,1.501773843
1914,2,20.6875,114.6950167,51.015,1.198015129
1915,2,20.71,177.1102763,107.0141667,1.149686071
1916,2,20.745,146.9820925,115.625,1.216719764
1917,2,20.45916667,154.1162042,93.04166667,1.557896826
1918,2,20.46666667,122.2253451,88.33333333,1.330564673
1919,2,20.81083333,164.9570613,82.9025,1.115901077
1920,2,20.805,134.996345,67.92833333,1.153793618
1921,2,20.85583333,141.2825358,89.09666667,1.379460377
1922,2,21.29083333,130.6113301,66.33083333,1.149622951
1923,2,21.29916667,137.9925731,73.3775,1.215953296
1924,2,20.99916667,134.2850581,81.055,1.406956567
1925,2,20.89083333,139.7148137,92.15833333,1.232015116
1926,2,21.15,130.5435966,106.985,1.263437026
1927,2,21.0125,167.8326218,95.84583333,1.299360924
1928,2,21.27333333,127.6766057,88.90416667,1.150686121
1929,2,21.40916667,131.2115853,80.45916667,1.18667033
1930,2,21.4775,147.1469158,67.67583333,1.249608421
1931,2,21.18083333,120.8222528,88.06416667,1.44946009
1932,2,21.2675,130.1878658,98.25916667,1.195856201
1933,2,21.84333333,158.7248438,95.24666667,1.534870978
1934,2,21.19,125.0563451,77.74583333,1.234818498
1935,2,20.92,162.7469425,91.9225,1.095507068
1936,2,21.66833333,107.7274259,97.805,1.180995116
1937,2,21.58333333,96.53682569,132.4166667,1.086761543
1938,2,20.83833333,124.2916713,96.80416667,1.17908837
1939,2,20.9925,121.6788209,80.38333333,1.511183462
1940,2,22.14833333,155.5080581,56.62916667,1.250310071
1941,2,22.17,133.8679442,85.81416667,1.391125158
1942,2,22.075,141.1074973,85.1975,1.439471378
1943,2,21.67583333,150.9716779,76.73916667,1.238469373
1944,2,21.72416667,149.7439044,104.9908333,1.502507635
1945,2,22.0775,127.4230881,73.10083333,1.15339345
1946,2,21.9475,123.0453544,84.6275,1.394317192
1947,2,21.89083333,109.0036016,68.38083333,1.164010927
1948,2,22.15166667,124.5814816,67.05583333,1.083708772
1949,2,22.05583333,144.1495188,67.88166667,1.154789655
1950,2,21.06916667,147.2061971,86.46083333,1.119311454
1951,2,20.81666667,147.7894939,87.34833333,1.153783098
1952,2,21.2625,98.07960479,103.3966667,1.232321869
1953,2,21.9825,164.1578718,65.17416667,1.201706178
1954,2,21.1775,129.3126107,92.8375,1.217700699
1955,2,21.4375,163.9061244,101.5541667,1.379020122
1956,2,21.07416667,135.1286376,88.31583333,1.238996787
1957,2,21.81,159.4529432,61.73083333,1.29539074
1958,2,21.5275,181.4193977,125.6941667,1.156284531
1959,2,21.2375,147.7401929,90.03416667,1.324789483
1960,2,21.25666667,157.6301745,103.4491667,1.400652894
1961,2,21.49416667,153.19506,95.89666667,1.188295859
1962,2,21.65666667,135.1554789,97.0025,1.330287366
1963,2,21.44666667,153.9102642,62.57666667,1.360716924
1964,2,21.51416667,141.5993415,68.29333333,1.217660435
1965,2,21.62333333,137.7011073,67.71083333,1.299120045
1966,2,21.21,156.30353,85.3475,1.142570686
1967,2,21.36916667,142.0302674,51.4325,1.21606364
1968,2,21.145,140.2382293,78.585,1.014870846
1969,2,21.81333333,139.4582434,141.6583333,1.421585639
1970,2,21.0975,157.6821802,103.3466667,1.364372666
1971,2,21.43833333,101.3718014,83.46333333,1.179772702
1972,2,21.84,119.3580382,52.46416667,1.155968867
1973,2,22.20166667,177.4909251,81.74166667,1.224686172
1974,2,21.5625,111.9966988,85.31333333,1.696263084
1975,2,21.4875,164.4026205,57.70416667,1.385067635
1976,2,21.10833333,164.3395626,85.32666667,1.440609349
1977,2,21.595,144.0918023,53.35083333,1.213311755
1978,2,21.44333333,149.552932,80.42583333,1.109577452
1979,2,21.49083333,146.3502696,86.3825,1.747629073
1980,2,21.62583333,160.9854988,65.28416667,1.098576457
1981,2,21.84666667,160.1578025,143.5341667,1.240464652
1982,2,22.30083333,134.810175,57.85083333,1.209188351
1983,2,22.05583333,184.1370938,89.77083333,1.222889405
1984,2,21.30916667,154.1328185,94.7825,1.291352245
1985,2,20.99916667,132.0420192,83.08083333,0.983128241
1986,2,20.92416667,126.9190382,73.47583333,1.147191468
1987,2,21.28666667,111.1527202,53.54833333,1.304789346
1988,2,21.42833333,134.4551719,94.09833333,1.296324956
1989,2,21.18833333,121.19113,83.22916667,1.408488617
1990,2,21.69583333,133.8096015,69.44083333,1.092347855
1991,2,22.0675,150.6317714,66.4525,1.382021198
1992,2,21.945,136.7250946,68.46916667,1.041796524
1993,2,22.06083333,124.3053845,121.375,1.33297972
1994,2,22.25666667,119.6204652,49.1175,0.989579932
1995,2,21.7775,114.7226832,80.20833333,1.379339975
1996,2,21.0325,132.7181089,95.25416667,1.210255161
1997,2,21.47333333,129.0140371,94.215,1.128980768
1998,2,21.5575,159.6401712,67.03083333,1.461199646
1999,2,20.58083333,159.0128734,67.29416667,1.481043848
2000,2,20.86333333,123.8492196,75.95,1.185255388
2001,2,21.25,124.2914079,86.68,1.040572352
2002,2,21.55833333,152.7490322,78.83416667,1.522474665
2003,2,21.43833333,149.4506789,160.5058333,0.991820303
2004,2,21.61833333,142.4196154,87.72,0.89818589
2005,2,21.72833333,146.1827111,75.04583333,1.132761906
2006,2,21.6175,137.9808863,69.865,1.12271704
2007,2,21.54666667,131.3732595,65.87416667,1.23174745
2008,2,21.12666667,142.5232321,63.5875,1.300532978
2009,2,21.5825,135.1081717,59.19833333,1.165726494
2010,2,21.0975,189.4112536,94.12333333,1.434751255
1900,3,24.29666667,163.8959749,105.6075,0.959345977
1901,3,23.65166667,183.2121259,95.2075,1.216474454
1902,3,23.5875,166.4225001,88.26083333,1.218787349
1903,3,23.29083333,168.8661183,59.735,1.375072083
1904,3,22.81166667,129.9331861,78.1025,1.369841422
1905,3,23.385,213.0303993,60.33166667,1.457034231
1906,3,23.2575,192.3080358,72.25,1.181131085
1907,3,23.2775,155.018065,59.91166667,0.804399533
1908,3,23.51,150.8464312,82.27916667,1.204859323
1909,3,23.985,189.0570656,138.0941667,1.180092443
1910,3,22.95083333,163.0056712,85.12333333,1.152149831
1911,3,23.84166667,132.5487297,69.05083333,0.980752011
1912,3,23.74666667,172.8642286,67.42083333,1.19711947
1913,3,23.3825,90.52801388,86.72416667,1.463703288
1914,3,23.41083333,142.8623876,45.60083333,1.137037517
1915,3,23.36083333,192.3609587,112.4141667,1.176985891
1916,3,23.6925,154.2997707,133.6383333,1.230444853
1917,3,23.32083333,159.9096111,108.6358333,1.514310454
1918,3,23.3375,127.6069872,101.7583333,1.444854931
1919,3,23.55666667,164.6446576,87.35,1.091034326
1920,3,23.60583333,142.1530261,67.35833333,1.117016787
1921,3,23.415,149.4138554,101.665,1.251995264
1922,3,23.805,141.0115135,76.42666667,1.215177958
1923,3,23.79833333,152.5032739,80.315,1.378331915
1924,3,23.59583333,143.4516556,87.17166667,1.346987453
1925,3,23.48833333,148.0308239,105.6191667,1.301144322
1926,3,23.79333333,150.4835198,91.97166667,1.234259087
1927,3,23.64,175.0867525,99.60833333,1.288651804
1928,3,23.95166667,145.9683973,99.6425,1.294306043
1929,3,24.06666667,141.5812938,103.5708333,1.209556194
1930,3,24.03,155.5575692,62.74666667,1.260154175
1931,3,23.4125,129.3031801,104.9775,1.498226256
1932,3,23.48583333,147.5053323,119.9441667,1.360639245
1933,3,23.93833333,169.5952372,98.2425,1.445271613
1934,3,23.47166667,140.26699,64.085,1.266743049
1935,3,23.31,181.5978214,95.36666667,1.219067962
1936,3,23.97416667,112.9083688,77.64166667,1.31661961
1937,3,23.89583333,107.3081855,86.1125,1.137299235
1938,3,23.2425,135.5466977,81.58666667,1.269239713
1939,3,23.34083333,132.170953,90.55833333,1.394730744
1940,3,24.19916667,167.1253421,53.5925,1.176816217
1941,3,24.04166667,196.1913311,100.3633333,1.293957989
1942,3,23.84583333,164.9064395,92.115,1.309214777
1943,3,23.89083333,182.7662051,71.3575,1.11403577
1944,3,24.08333333,156.9375792,122.44,1.558967605
1945,3,24.24,136.6608377,93.1825,1.179334768
1946,3,24.12083333,138.6286746,92.5125,1.133163192
1947,3,23.9525,125.5340381,99.13833333,1.145974775
1948,3,24.40416667,142.9911426,65.55083333,1.235269409
1949,3,24.2575,136.1577739,82.46166667,1.18429065
1950,3,23.56583333,137.0100984,113.2008333,1.159010904
1951,3,23.62833333,153.6304249,100.1558333,1.163302525
1952,3,23.94333333,116.0128306,97.77583333,1.263672222
1953,3,24.41666667,163.4933594,69.22583333,1.251159579
1954,3,23.51166667,139.2541743,108.4116667,1.312031544
1955,3,23.79166667,157.9713775,130.1733333,1.310729456
1956,3,23.59,126.6220201,75.73,1.17046127
1957,3,24.28416667,161.1007709,67.87583333,1.343447936
1958,3,24.06083333,168.1794021,104.1341667,1.243649729
1959,3,23.7025,153.2491289,88.26666667,1.290243246
1960,3,23.6325,151.5060819,102.0308333,1.25471808
1961,3,23.8475,163.68105,82.40833333,1.175502536
1962,3,23.76583333,151.8613645,87.3,1.323101887
1963,3,23.765,178.8133174,78.43,1.285903358
1964,3,23.74333333,160.7437955,80.2375,1.281505598
1965,3,23.85166667,149.8281122,71.05416667,1.241017459
1966,3,23.57,178.0782119,92.9625,1.049642061
1967,3,23.6775,153.5576849,80.915,1.408648947
1968,3,23.55833333,154.9749105,86.58083333,1.023681967
1969,3,23.9675,147.1545051,140.1975,1.400825719
1970,3,23.46583333,149.0382419,117.4025,1.475317011
1971,3,23.77166667,95.05348504,97.0375,1.220693435
1972,3,24.29416667,137.593862,70.2375,1.335548173
1973,3,24.39083333,175.6022085,126.585,1.200339887
1974,3,24.03916667,132.6308688,104.9916667,1.385287321
1975,3,24.52,164.6147353,88.07,1.203656668
